Type,Family id,Family name,Target id,Target name,Subunit id,Subunit name,Target systematic name,Target abbreviated name,synonyms,HGNC id,HGNC symbol,HGNC name,Human genetic localisation,Human nucleotide RefSeq,Human protein RefSeq,Human SwissProt,Human Entrez Gene,Human Ensembl Gene
gpcr,1,5-Hydroxytryptamine receptors,12,5-HT7 receptor,"","","","","5-HTx|5-HT1Y|5-HT7|GPRFO|serotonin receptor 7|5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled",5302,HTR7,5-hydroxytryptamine receptor 7,10q23.31,NM_000872,NP_000863,P34969,3363,ENSG00000148680
gpcr,2,Acetylcholine receptors (muscarinic),13,M1 receptor,"","","","","M1 muscarinic acetylcholine receptor|Chrm-1|M1R|cholinergic receptor, muscarinic 1|cholinergic receptor|cholinergic receptor, muscarinic 1, CNS",1950,CHRM1,cholinergic receptor muscarinic 1,11q12.3,NM_000738,NP_000729,P11229,1128,ENSG00000168539
gpcr,2,Acetylcholine receptors (muscarinic),14,M2 receptor,"","","","","M2 muscarinic acetylcholine receptor|AChR M2|Chrm-2|cholinergic receptor, muscarinic 2|cholinergic receptor|cholinergic receptor, muscarinic 2, cardiac",1951,CHRM2,cholinergic receptor muscarinic 2,7q33,NM_000739,NP_000730,P08172,1129,ENSG00000181072
gpcr,2,Acetylcholine receptors (muscarinic),15,M3 receptor,"","","","","HM4|Chrm-3|M3R|cholinergic receptor, muscarinic 3|cholinergic receptor|cholinergic receptor, muscarinic 3, cardiac",1952,CHRM3,cholinergic receptor muscarinic 3,1q43,NM_000740,NP_000731,P20309,1131,ENSG00000133019
gpcr,2,Acetylcholine receptors (muscarinic),16,M4 receptor,"","","","","HM3|Chrm-4|cholinergic receptor, muscarinic 4|cholinergic receptor",1953,CHRM4,cholinergic receptor muscarinic 4,11p11.2,NM_000741,NP_000732,P08173,1132,ENSG00000180720
gpcr,2,Acetylcholine receptors (muscarinic),17,M5 receptor,"","","","","M5R|cholinergic receptor, muscarinic 5|cholinergic receptor",1954,CHRM5,cholinergic receptor muscarinic 5,15q14,NM_012125,NP_036257,P08912,1133,ENSG00000184984
gpcr,3,Adenosine receptors,18,A1 receptor,"","","","",RDC7|adenosine receptor A1|A1-AR|A1R,262,ADORA1,adenosine A1 receptor,1q32.1,NM_000674,NP_000665,P30542,134,ENSG00000163485
gpcr,3,Adenosine receptors,19,A2A receptor,"","","","",RDC8|A2-AR|adenosine receptor A2a,263,ADORA2A,adenosine A2a receptor,22q11.23,NM_000675,NP_000666,P29274,135,ENSG00000128271
gpcr,3,Adenosine receptors,20,A2B receptor,"","","","",adenosine receptor A2b|A2b|A2BR,264,ADORA2B,adenosine A2b receptor,17p12,NM_000676,NP_000667,P29275,136,ENSG00000170425
gpcr,3,Adenosine receptors,21,A3 receptor,"","","","",Adenosine receptor A3|TGPCR1|A3AR|ARA3,268,ADORA3,adenosine A3 receptor,1p13.2,NM_000677,NP_000668,P0DMS8,140,ENSG00000282608
gpcr,17,Adhesion Class GPCRs,197,ADGRA1,"","","","",GPR123 (G protein-coupled receptor 123),13838,ADGRA1,adhesion G protein-coupled receptor A1,10q26.3,NM_001083909,NP_001077378,Q86SQ6,84435,ENSG00000197177
gpcr,17,Adhesion Class GPCRs,198,ADGRA2,"","","","",GPR124 (G protein-coupled receptor 124),17849,ADGRA2,adhesion G protein-coupled receptor A2,8p11.23,NM_032777,NP_116166,Q96PE1,25960,ENSG00000020181
gpcr,17,Adhesion Class GPCRs,199,ADGRA3,"","","","",TEM5L|TEM5-like|PGR21|GPR125 (G protein-coupled receptor 125),13839,ADGRA3,adhesion G protein-coupled receptor A3,4p15.2,NM_145290,NP_660333,Q8IWK6,166647,ENSG00000152990
gpcr,17,Adhesion Class GPCRs,174,ADGRB1,"","","","",BAI1|brain-specific angiogenesis inhibitor 1,943,ADGRB1,adhesion G protein-coupled receptor B1,8q24.3,NM_001702,NP_001693,O14514,575,ENSG00000181790
gpcr,17,Adhesion Class GPCRs,175,ADGRB2,"","","","",BAI2|brain-specific angiogenesis inhibitor 2,944,ADGRB2,adhesion G protein-coupled receptor B2,1p35.2,NM_001294335,NP_001281264,O60241,576,ENSG00000121753
gpcr,17,Adhesion Class GPCRs,176,ADGRB3,"","","","",BAI3|brain-specific angiogenesis inhibitor 3,945,ADGRB3,adhesion G protein-coupled receptor B3,6q12-q13,NM_001704,NP_001695,O60242,577,ENSG00000135298
gpcr,17,Adhesion Class GPCRs,178,CELSR1,"","",ADGRC1,"",ADGRC1 (adhesion G protein-coupled receptor C1)|crash,1850,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1,22q13.31,NM_014246,NP_005061,Q9NYQ6,9620,ENSG00000075275
gpcr,17,Adhesion Class GPCRs,179,CELSR2,"","",ADGRC2,"",ADGRC2 (adhesion G protein-coupled receptor C2)|MEGF3|multiple epidermal growth factor-like domains 3,3231,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2,1p13.3,NM_001408,NP_001399,Q9HCU4,1952,ENSG00000143126
gpcr,17,Adhesion Class GPCRs,180,CELSR3,"","",ADGRC3,"",ADGRC3 (adhesion G protein-coupled receptor C3)|MEGF2|multiple epidermal growth factor-like domains 2,3230,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3,3p21.31,NM_001407,NP_001398,Q9NYQ7,1951,ENSG00000008300
gpcr,17,Adhesion Class GPCRs,202,ADGRD1,"","","","",GPR133 (G protein-coupled receptor 133),19893,ADGRD1,adhesion G protein-coupled receptor D1,12q24.33,NM_198827,NP_942122,Q6QNK2,283383,ENSG00000111452
gpcr,17,Adhesion Class GPCRs,204,ADGRD2,"","","","","adhesion G protein-coupled receptor D2|adhesion G protein-coupled receptor D2, pseudogene|GPR144 (G protein-coupled receptor 144)|PGR24",18651,ADGRD2,adhesion G protein-coupled receptor D2,9q33.3,"","",Q7Z7M1,347088,ENSG00000180264
gpcr,17,Adhesion Class GPCRs,182,ADGRE1,"","","","","EMR1 (EGF-like module-containing, mucin-like, hormone receptor-like 1)",3336,ADGRE1,adhesion G protein-coupled receptor E1,19p13.3-p13.2,NM_001974|NM_001256252|NM_001256253|NM_001256254|NM_001256255,NP_001965|NP_001243181|NP_001243182|NP_001243183|NP_001243184,Q14246,2015,ENSG00000174837
gpcr,17,Adhesion Class GPCRs,183,ADGRE2,"","","","","EMR2 (EGF-like module-containing, mucin-like, hormone receptor-like 2)|CD312 (cluster of differentiation 312)",3337,ADGRE2,adhesion G protein-coupled receptor E2,19p13.12,NM_013447,NP_038475,Q9UHX3,30817,ENSG00000127507
gpcr,17,Adhesion Class GPCRs,184,ADGRE3,"","","","","EMR3 (EGF-like module-containing, mucin-like, hormone receptor-like 3)",23647,ADGRE3,adhesion G protein-coupled receptor E3,19p13.12,NM_032571,NP_115960,Q9BY15,84658,ENSG00000131355
gpcr,17,Adhesion Class GPCRs,185,ADGRE4P,"","","","",FIRE (F4/80-like-receptor)|EMR4 (EGF-like module-containing mucin-like hormone receptor-like 4)|GPR127|G protein-coupled receptor 127,19240,ADGRE4P,"adhesion G protein-coupled receptor E4, pseudogene",19p13.2,NR_024075,"",Q86SQ3,326342,ENSG00000268758
gpcr,17,Adhesion Class GPCRs,177,ADGRE5,"","","","",CD97 (cluster of differentiation 97)|BL-Ac (F2),1711,ADGRE5,adhesion G protein-coupled receptor E5,19p13.12,NM_078481|NM_001025160|NM_001784,NP_510966|NP_001020331|NP_001775,P48960,976,ENSG00000123146
gpcr,17,Adhesion Class GPCRs,190,ADGRF1,"","","","",GPR110 (G protein-coupled receptor 110)|PGR19,18990,ADGRF1,adhesion G protein-coupled receptor F1,6p12.3,NM_153840,NP_722582,Q5T601,266977,ENSG00000153292
gpcr,17,Adhesion Class GPCRs,191,ADGRF2,"","","","",adhesion G protein-coupled receptor F2|GPR111 (G protein-coupled receptor 111)|PGR20,18991,ADGRF2P,"adhesion G protein-coupled receptor F2, pseudogene",6p12.3,NM_153839,NP_722581,Q8IZF7,222611,ENSG00000164393
gpcr,17,Adhesion Class GPCRs,193,ADGRF3,"","","","",GPR113 (G protein-coupled receptor 113)|PGR23,18989,ADGRF3,adhesion G protein-coupled receptor F3,2p23.3,NM_153835,NP_722577,Q8IZF5,165082,ENSG00000173567
gpcr,17,Adhesion Class GPCRs,195,ADGRF4,"","","","",GPR115 (G protein-coupled receptor 115)|PGR18,19011,ADGRF4,adhesion G protein-coupled receptor F4,6p12.3,NM_153838,NP_722580,Q8IZF3,221393,ENSG00000153294
gpcr,17,Adhesion Class GPCRs,196,ADGRF5,"","","","",GPR116 (G protein-coupled receptor 116)|Ig-Hepta|KIAA0758,19030,ADGRF5,adhesion G protein-coupled receptor F5,6p12.3,NM_015234,NP_056049,Q8IZF2,221395,ENSG00000069122
gpcr,17,Adhesion Class GPCRs,186,ADGRG1,"","","","",BFPP|Cyt28|GPR56 (G-protein coupled receptor 56)|TM7LN4|TM7XN1,4512,ADGRG1,adhesion G protein-coupled receptor G1,16q21,NM_005682,NP_005673,Q9Y653,9289,ENSG00000205336
gpcr,17,Adhesion Class GPCRs,187,ADGRG2,"","","","",GPR64 (G protein-coupled receptor 64)|HE6 (human epididymal 6)|TM7LN2,4516,ADGRG2,adhesion G protein-coupled receptor G2,Xp22.13,NM_001079858|NM_001079859|NM_001079860|NM_005756|NM_001184833|NM_001184834|NM_001184835|NM_001184836,NP_001073328|NP_001073327|NP_001073329|NP_005747|NP_001171762|NP_001171763|NP_001171764|NP_001171765,Q8IZP9,10149,ENSG00000173698
gpcr,17,Adhesion Class GPCRs,188,ADGRG3,"","","","",GPR97 (G protein-coupled receptor 97)|Pb99|PGR26,13728,ADGRG3,adhesion G protein-coupled receptor G3,16q21,NM_170776,NP_740746,Q86Y34,222487,ENSG00000182885
gpcr,17,Adhesion Class GPCRs,192,ADGRG4,"","","","",GPR112 (G protein-coupled receptor 112),18992,ADGRG4,adhesion G protein-coupled receptor G4,Xq26.3,NM_153834,NP_722576,Q8IZF6,139378,ENSG00000156920
gpcr,17,Adhesion Class GPCRs,194,ADGRG5,"","","","",Gm1109|GPR114 (G protein-coupled receptor 114)|PGR27|UNQ2524/PRO6017,19010,ADGRG5,adhesion G protein-coupled receptor G5,16q21,NM_153837,NP_722579,Q8IZF4,221188,ENSG00000159618
gpcr,17,Adhesion Class GPCRs,200,ADGRG6,"","","","",developmentally regulated GPCR|DREG|GPR126 (G protein-coupled receptor 126)|vascular inducible GPCR|VIGR,13841,ADGRG6,adhesion G protein-coupled receptor G6,6q24.2,NM_020455|NM_001032394|NM_001032395|NM_198569,NP_065188|NP_940971|NP_001027566|NP_001027567,Q86SQ4,57211,ENSG00000112414
gpcr,17,Adhesion Class GPCRs,201,ADGRG7,"","","","",GPR128 (G protein-coupled receptor 128),19241,ADGRG7,adhesion G protein-coupled receptor G7,3q12.2,NM_032787,NP_116176,Q96K78,84873,ENSG00000144820
gpcr,17,Adhesion Class GPCRs,206,ADGRL1,"","","","",LPHN1 (latrophilin 1)|LEC1 (lectomedin-2)|CIRL1 (calcium-independent alpha-latrotoxin 1)|CL1 (CIRL/latrophilin 1),20973,ADGRL1,adhesion G protein-coupled receptor L1,19p13.12,NM_014921|NM_001008701,NP_055736|NP_001008701,O94910,22859,ENSG00000072071
gpcr,17,Adhesion Class GPCRs,207,ADGRL2,"","","","",LPHN2 (latrophilin 2)|LPHH1 (latrophilin homologue in humans 1)|LEC1 (lectomedin-1)|CIRL2 (calcium-independent receptor of alpha-latrotoxin 2),18582,ADGRL2,adhesion G protein-coupled receptor L2,1p31.1,NM_012302,NP_036434,O95490,23266,ENSG00000117114
gpcr,17,Adhesion Class GPCRs,208,ADGRL3,"","","","",LPHN3 (latrophilin 3)|CIRL3 (calcium-independent receptor of alpha-latrotoxin 3)|LEC3 (Lectomedin-3)|CL3 (CIRL/latrophilin 3),20974,ADGRL3,adhesion G protein-coupled receptor L3,4q13.1,NM_015236,NP_056051,Q9HAR2,23284,ENSG00000150471
gpcr,17,Adhesion Class GPCRs,181,ADGRL4,"","","","","ETL|EGF-TM7-latrophilin-related protein|ELTD1|EGF, latrophilin seven transmembrane domain containing 1",20822,ADGRL4,adhesion G protein-coupled receptor L4,1p31.1,NM_022159,NP_071442,Q9HBW9,64123,ENSG00000162618
gpcr,17,Adhesion Class GPCRs,189,ADGRV1,"","","","",FEB4|MASS1|USH2C|VLGR1|very large G protein-coupled receptor 1|GPR98 (G protein-coupled receptor 98),17416,ADGRV1,adhesion G protein-coupled receptor V1,5q14.3,NM_032119,NP_115495,Q8WXG9,84059,ENSG00000164199
gpcr,4,Adrenoceptors,22,&alpha;1A-adrenoceptor,"","","","","&alpha;1c|&alpha;1a|ADRA1C|ADRA1L1|adrenergic alpha 1c receptor|adrenergic receptor alpha 1c|alpha 1A-adrenoceptor|alpha 1A-adrenoreceptor|alpha 1C-adrenergic receptor|alpha-1A adrenergic receptor|adrenergic receptor, alpha 1a",277,ADRA1A,adrenoceptor alpha 1A,8p21.2,NM_000680,NP_000671,P35348,148,ENSG00000120907
gpcr,4,Adrenoceptors,23,&alpha;1B-adrenoceptor,"","","","",adrenergic alpha 1B receptor|alpha 1B-adrenoceptor|alpha 1B-adrenoreceptor|alpha1B-adrenergic receptor|adrenergic receptor,278,ADRA1B,adrenoceptor alpha 1B,5q33.3,NM_000679,NP_000670,P35368,147,ENSG00000170214
gpcr,4,Adrenoceptors,24,&alpha;1D-adrenoceptor,"","","","",ADRA1|Adra-1|ADRA1A|ADRA1R|Adrd1|adrenergic receptor delta1|&alpha;1A-adrenoceptor|&alpha;1A/D|&alpha;1a/d-adrenoceptor|alpha 1D-adrenoceptor|alpha 1D-adrenoreceptor|alpha1D-AR|Gpcr8,280,ADRA1D,adrenoceptor alpha 1D,20p13,NM_000678,NP_000669,P25100,146,ENSG00000171873
gpcr,4,Adrenoceptors,25,&alpha;2A-adrenoceptor,"","","","",&alpha;2D|ADRA2|ADRA2R|Adrenergic alpha 2A receptor|Adra-2|Adra-2a|alpha2A|alpha2A-adrenergic receptor|alpha2A-AR|adrenergic receptor,281,ADRA2A,adrenoceptor alpha 2A,10q25.2,NM_000681,NP_000672,P08913,150,ENSG00000150594
gpcr,4,Adrenoceptors,26,&alpha;2B-adrenoceptor,"","","","",&alpha;2-C2|ADRA2L1|ADRA2RL1|Adrenergic alpha2B- receptor class III|alpha-2B adrenergic receptor|alpha-2B adrenoreceptor|alpha-2BAR|Adra-2b|alpha2B|adrenergic receptor,282,ADRA2B,adrenoceptor alpha 2B,2q11.2,NM_000682,NP_000673,P18089,151,ENSG00000274286
gpcr,4,Adrenoceptors,27,&alpha;2C-adrenoceptor,"","","","",&alpha;2-C4|ADRA2L2|ADRA2RL2|Adrenergic alpha2C- receptor class I|alpha-2 adrenergic receptor subtype C4|alpha-2C adrenergic receptor|alpha-2C adrenoreceptor|Adra-2c|adrenergic receptor,283,ADRA2C,adrenoceptor alpha 2C,4p16.3,NM_000683,NP_000674,P18825,152,ENSG00000184160
gpcr,4,Adrenoceptors,28,&beta;1-adrenoceptor,"","","","",ADRB1R|Adrenergic receptor beta 1|B1AR|beta-1 adrenergic receptor|beta-1 adrenoreceptor|Adrb-1|beta 1-AR|adrenergic receptor,285,ADRB1,adrenoceptor beta 1,10q25.3,NM_000684,NP_000675,P08588,153,ENSG00000043591
gpcr,4,Adrenoceptors,29,&beta;2-adrenoceptor,"","","","","ADRB2R|ADRBR|B2AR|beta-2 adrenergic receptor|beta-2 adrenoreceptor|Adrb-2|beta 2-AR|Gpcr7|adrenoceptor beta 2, surface|adrenergic receptor",286,ADRB2,adrenoceptor beta 2,5q32,NM_000024,NP_000015,P07550,154,ENSG00000169252
gpcr,4,Adrenoceptors,30,&beta;3-adrenoceptor,"","","","",atypical &beta;-adrenoceptor|ADRB|beta-3 adrenoreceptor|Adrb-3|beta 3-AR|beta3-adrenergic receptor|adrenergic receptor,288,ADRB3,adrenoceptor beta 3,8p11.23,NM_000025,NP_000016,P13945,155,ENSG00000188778
gpcr,6,Angiotensin receptors,34,AT1 receptor,"","","","","AG2S|AT2R1|AT2R1A|HAT1R|Agtr1|angiotensin II type-1 receptor|angiotensin II type-1A receptor|angiotensin II type-1B receptor|AT3|type-1A angiotensin II receptor|type-1B angiotensin II receptor|vascular type-1 angiotensin II receptor|Agtr-1b|Angtr-1b|Angtr-1a|AT1AR|AT1BR|Type-1 angiotensin II receptor|Agtr-1a|angiotensin II receptor, type 1|angiotensin II receptor, type 1a|angiotensin II receptor, type 1b|angiotensin II receptor",336,AGTR1,angiotensin II receptor type 1,3q24,NM_000685,NP_000676,P30556,185,ENSG00000144891
gpcr,6,Angiotensin receptors,35,AT2 receptor,"","","","","MRX88|angiotensin receptor 2|angiotensin II type 2 receptor|AT2R|AT2-R|AT2 receptor|Agtr2|angiotensin II receptor, type 2|angiotensin II receptor",338,AGTR2,angiotensin II receptor type 2,Xq23,NM_000686,NP_000677,P50052,186,ENSG00000180772
gpcr,7,Apelin receptor,36,apelin receptor,"","","","",angiotensin receptor-like 1|AGTRL1|APJ|APJR|angiotensin II receptor-like 1|B78|GPCR34|G-protein coupled receptor APJ|msr/apj,339,APLNR,apelin receptor,11q12.1,NM_005161,NP_005152,P35414,187,ENSG00000134817
gpcr,8,Bile acid receptor,37,GPBA receptor,"","","","",BG37|hGPCR19|M-BAR|TGR5|GPCR19|GPR131|GPBAR1|G protein-coupled bile acid receptor 1|membrane-type receptor for bile acids,19680,GPBAR1,G protein-coupled bile acid receptor 1,2q35,NM_170699,NP_001070662,Q8TDU6,151306,ENSG00000179921
gpcr,9,Bombesin receptors,38,BB1 receptor,"","","","",NMB-R|BB1|neuromedin B receptor|neuromedin-B-preferring bombesin receptor,7843,NMBR,neuromedin B receptor,6q24.1,NM_002511,NP_002502,P28336,4829,ENSG00000135577
gpcr,9,Bombesin receptors,39,BB2 receptor,"","","","",GRP-R|BB2|GRP-preferring bombesin receptor|Gastrin-releasing peptide receptor|gastrin-releasing peptide receptor,4609,GRPR,gastrin releasing peptide receptor,Xp22.2,NM_005314,NP_005305,P30550,2925,ENSG00000126010
gpcr,9,Bombesin receptors,40,BB3 receptor,"","","","",bb3|bombesin receptor subtype-3|bombesin like receptor 3,1113,BRS3,bombesin receptor subtype 3,Xq26.3,NM_001727,NP_001718,P32247,680,ENSG00000102239
gpcr,10,Bradykinin receptors,41,B1 receptor,"","","","","B1BKR|BKR1|B1R|kinin B1 receptor|bradykinin receptor|bradykinin receptor, B1",1029,BDKRB1,bradykinin receptor B1,14q32.2,NM_000710,NP_000701,P46663,623,ENSG00000100739
gpcr,10,Bradykinin receptors,42,B2 receptor,"","","","","B2BKR|B2BRA|BK-2 receptor|BK2R|bradykinin receptor|bradykinin receptor, B2",1030,BDKRB2,bradykinin receptor B2,14q32.2,NM_000623,NP_000614,P30411,624,ENSG00000168398
gpcr,11,Calcitonin receptors,43,CT receptor,"","","","",CTRI1-|CTR2|CT-R|C1A/C1B|calcitonin receptor|CTR,1440,CALCR,calcitonin receptor,7q21.3,NM_001742,NP_001733|NP_001158209,P30988,799,ENSG00000004948
gpcr,11,Calcitonin receptors,44,AMY1 receptor,51|43,RAMP1|CT receptor,"","",CTR/RAMP1,"","","","","","","","",""
gpcr,11,Calcitonin receptors,45,AMY2 receptor,52|43,RAMP2|CT receptor,"","","","","","","","","","","",""
gpcr,11,Calcitonin receptors,46,AMY3 receptor,53|43,RAMP3|CT receptor,"","","","","","","","","","","",""
gpcr,11,Calcitonin receptors,47,calcitonin receptor-like receptor,"","","","",CLR (unofficial abbreviation in common use)|CRLR,16709,CALCRL,calcitonin receptor like receptor,2q32.1,NM_005795,NP_005786,Q16602,10203,ENSG00000064989
gpcr,11,Calcitonin receptors,48,CGRP receptor,51|47,RAMP1|calcitonin receptor-like receptor,"","",CGRP1,"","","","","","","","",""
gpcr,11,Calcitonin receptors,49,AM1 receptor,52|47,RAMP2|calcitonin receptor-like receptor,"","","","","","","","","","","",""
gpcr,11,Calcitonin receptors,50,AM2 receptor,53|47,RAMP3|calcitonin receptor-like receptor,"","","","","","","","","","","",""
gpcr,12,Calcium-sensing receptor,54,CaS receptor,"","","","",CaR|GPRC2A|extracellular calcium-sensing receptor|divalent cation-sensing receptor|calcium-sensing receptor,1514,CASR,calcium sensing receptor,3q13.33-q21.1,NM_000388,NP_000379,P41180,846,ENSG00000036828
gpcr,13,Cannabinoid receptors,56,CB1 receptor,"","","","",Central cannabinoid receptor|Neuronal cannabinoid receptor|THC receptor|CB-R|Cann6|SKR6R|CB1R|Cann7,2159,CNR1,cannabinoid receptor 1,6q15,NM_016083,NP_057167,P21554,1268,ENSG00000118432
gpcr,13,Cannabinoid receptors,57,CB2 receptor,"","","","",rCB2|cannabinoid receptor 2 (spleen)|CB2-R|Peripheral cannabinoid receptor|cannabinoid receptor 2 (macrophage),2160,CNR2,cannabinoid receptor 2,1p36.11,NM_001841,NP_001832,P34972,1269,ENSG00000188822
gpcr,338,Chemerin receptors,79,chemerin receptor 1,"","","",Chemerin1,Chemerin1|chemokine receptor-like 1|CMKLR1|Gpcr27|G-protein coupled receptor ChemR23|G-protein coupled receptor DEZ|resolvin E1 receptor|RVER1|tazarotene induced gene 2 receptor|TIG2 receptor,2121,CMKLR1,chemerin chemokine-like receptor 1,12q23.3,NM_004072,NP_004063,Q99788,1240,ENSG00000174600
gpcr,338,Chemerin receptors,82,chemerin receptor 2,"","","",Chemerin2,Gpr1|GPR1|G protein-coupled receptor 1|Chemerin2,4463,CMKLR2,chemerin chemokine-like receptor 2,2q33.3,NM_005279,NP_005270,P46091,2825,ENSG00000183671
gpcr,14,Chemokine receptors,58,CCR1,"","","","",CC CKR1|CKR1|MIP-1&alpha;/RANTES|MIP-1&alpha;R|CD191|CMKBR1|MIP1aR|macrophage inflammatory protein-1 alpha receptor,1602,CCR1,C-C motif chemokine receptor 1,3p21.31,NM_001295,NP_001286,P32246,1230,ENSG00000163823
gpcr,14,Chemokine receptors,59,CCR2,"","","","",MCP-1 receptor|CC CKR2|CKR2|CD192|chemokine receptor CCR2|CCR2A|CCR2B|chemokine (C-C motif) receptor 2,1603,CCR2,C-C motif chemokine receptor 2,3p21.31,NM_001123396,NP_001116513|NP_001116868,P41597,1231,ENSG00000121807
gpcr,14,Chemokine receptors,60,CCR3,"","","","",CC CKR3|MIP-1&alpha;RL-2 (mouse)|CKR3|CC-CKR-3|CD193|chemokine (C-C motif) receptor 3,1604,CCR3,C-C motif chemokine receptor 3,3p21.31,NM_001837,NP_001828,P51677,1232,ENSG00000183625
gpcr,14,Chemokine receptors,61,CCR4,"","","","",CD194|ChemR13|C-C chemokine receptor 4|CC CKR4|chemokine (C-C motif) receptor 4,1605,CCR4,C-C motif chemokine receptor 4,3p22.3,NM_005508,NP_005499,P51679,1233,ENSG00000183813
gpcr,14,Chemokine receptors,62,CCR5,"","","","",CHEMR13|CC CKR5|CKR5|CD195|MIP-1 alpha receptor|chemokine (C-C motif) receptor 5 (gene/pseudogene)|C-C motif chemokine receptor 5 (gene/pseudogene),1606,CCR5,C-C motif chemokine receptor 5,3p21.31,NM_000579,NP_000570,P51681,1234,ENSG00000160791
gpcr,14,Chemokine receptors,63,CCR6,"","","","",CKR-L3|DCCR2|GPR-CY4|STRL22|DRY-6|GPR29|CD196,1607,CCR6,C-C motif chemokine receptor 6,6q27,NM_004367,NP_004358,P51684,1235,ENSG00000112486
