Fact,ProvenanceLeft,ProvenanceRight,Rule
partOf(26|gpcr),receptor(gpcr|26|GABAB receptors|242|GABAB receptor|1917|1918|1919|1920|240|241|KCTD8|KCTD12|kctd12b|KCTD16|GABAB1|GABAB2||||||||||||),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(27|gpcr),receptor(gpcr|27|Galanin receptors|243|GAL1 receptor|||||GALNR|GALNR1|4132|GALR1|galanin receptor 1|18q23|NM_001480|NP_001471|P47211|2587|ENSG00000166573),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(28|gpcr),receptor(gpcr|28|Ghrelin receptor|246|ghrelin receptor|||||growth hormone-releasing peptide receptor|GH-releasing peptide receptor|GHS-R|ghrelin receptor 1a|4267|GHSR|growth hormone secretagogue receptor|3q26.31|NM_198407|NP_940799|Q92847|2693|ENSG00000121853),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(29|gpcr),receptor(gpcr|29|Glucagon receptor family|247|GHRH receptor|||||GRF receptor|GRFR|growth hormone-releasing factor receptor|Ghrfr|4266|GHRHR|growth hormone releasing hormone receptor|7p14.3|NM_000823|NP_000814|Q02643|2692|ENSG00000106128),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(30|gpcr),receptor(gpcr|30|Glycoprotein hormone receptors|253|FSH receptor|||||Follitropin receptor|LGR1|FSH-R|3969|FSHR|follicle stimulating hormone receptor|2p16.3|NM_000145|NP_000136|P23945|2492|ENSG00000170820),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(31|gpcr),receptor(gpcr|31|Gonadotrophin-releasing hormone receptors|256|GnRH1 receptor|||||luteinizing hormone-releasing hormone (LHRH) receptor|GNRHR1|LHRH receptor|Type I GnRHR|gnRH receptor|GnRH-R|GnRH I receptor|GnRHR|luliberin receptor|LHRHR|4421|GNRHR|gonadotropin releasing hormone receptor|4q13.2|NM_000406|NP_000397|P30968|2798|ENSG00000109163),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(33|gpcr),receptor(gpcr|33|Histamine receptors|262|H1 receptor|||||H1R|HH1R|Hisr|5182|HRH1|histamine receptor H1|3p25.3|NM_000861|NP_000852|P35367|3269|ENSG00000196639),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(34|gpcr),receptor(gpcr|34|Kisspeptin receptor|266|kisspeptin receptor|||||GPR54|Metastin receptor|hOT7T175|kiSS-1 receptor|kiSS-1R|KiSS1-derived peptide receptor|4510|KISS1R|KISS1 receptor|19p13.3|NM_032551|NP_115940|Q969F8|84634|ENSG00000116014),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(35|gpcr),receptor(gpcr|35|Leukotriene receptors|267|BLT1 receptor|||||BLTR|GPR16|6713|LTB4R|leukotriene B4 receptor|14q12|NM_181657|NP_858043|Q15722|1241|ENSG00000213903),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(36|gpcr),"receptor(gpcr|36|Lysophospholipid (LPA) receptors|272|LPA1 receptor|||||EDG2|GPR26|VZG1|endothelial differentiation gene 2, lysophosphatidic acid G-protein-coupled receptor, 2|LPA receptor 1|Lpar1|lysophosphatidic acid receptor Edg-2|3166|LPAR1|lysophosphatidic acid receptor 1|9q31.3|NM_001401|NP_001392|Q92633|1902|ENSG00000198121)","","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(37|gpcr),receptor(gpcr|37|Melanin-concentrating hormone receptors|280|MCH1 receptor|||||GPR24|MCH1R|G protein-coupled receptor 24|MCH receptor 1|somatostatin receptor-like protein|4479|MCHR1|melanin concentrating hormone receptor 1|22q13.2|NM_005297|NP_005288|Q99705|2847|ENSG00000128285),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(38|gpcr),receptor(gpcr|38|Melanocortin receptors|282|MC1 receptor|||||MSH-R|melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)|6929|MC1R|melanocortin 1 receptor|16q24.3|NM_002386|NP_002377|Q01726|4157|ENSG00000258839),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(39|gpcr),receptor(gpcr|39|Melatonin receptors|287|MT1 receptor|||||mel1a receptor|MelR|7463|MTNR1A|melatonin receptor 1A|4q35.2|NM_005958|NP_005949|P48039|4543|ENSG00000168412),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(40|gpcr),"receptor(gpcr|40|Metabotropic glutamate receptors|289|mGlu1 receptor|||||GPRC1A|metabotropic glutamate receptor 1|wobl|MGLUR1|SCAR13|glutamate receptor, metabotropic 1|glutamate receptor|4593|GRM1|glutamate metabotropic receptor 1|6q24.3|NM_001278067|NM_001278064|NM_001278066|NM_001278065|NP_001264995|NP_001264996|NP_001264993|NP_001264994|Q13255|2911|ENSG00000152822)","","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(41|gpcr),receptor(gpcr|41|Motilin receptor|297|motilin receptor|||||GPR38|G protein-coupled receptor 38|MOT-R|MTLR|MTLR1|4495|MLNR|motilin receptor|13q14.2|NM_001507|NP_001498|O43193|2862|ENSG00000102539),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(42|gpcr),receptor(gpcr|42|Neuromedin U receptors|298|NMU1 receptor|||||GPR66|FM-3|NmU-R1|SNORF62|4518|NMUR1|neuromedin U receptor 1|2q37.1|NM_006056|NP_006047|Q9HB89|10316|ENSG00000171596),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(43|gpcr),receptor(gpcr|43|Neuropeptide FF/neuropeptide AF receptors|300|NPFF1 receptor|||||GPR147|G protein-coupled receptor 147|NPFF1|RFamide-related peptide receptor OT7T022|NPFF1R1|OT7T022|GnIH-R|GnIH-R/RFRP-3|17425|NPFFR1|neuropeptide FF receptor 1|10q22.1|NM_022146|NP_071429|Q9GZQ6|64106|ENSG00000148734),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(44|gpcr),receptor(gpcr|44|Neuropeptide S receptor|302|NPS receptor|||||VRR1|GPR154|PGR14|G protein-coupled receptor 154|vasopressin receptor-related receptor 1|23631|NPSR1|neuropeptide S receptor 1|7p14.3|NM_207172|NP_997055|NP_997056|Q6W5P4|387129|ENSG00000187258),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(45|gpcr),receptor(gpcr|45|Neuropeptide W/neuropeptide B receptors|303|NPBW1 receptor|||||GPR7|G protein-coupled receptor 7|neuropeptides B/W receptor type 1|4522|NPBWR1|neuropeptides B and W receptor 1|8q11.23|NM_005285|NP_005276|P48145|2831|ENSG00000288611),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(46|gpcr),receptor(gpcr|46|Neuropeptide Y receptors|305|Y1 receptor|||||NPY-Y1 receptor|FC5|neuropeptide Y receptor type 1|Y1-R|7956|NPY1R|neuropeptide Y receptor Y1|4q32.2|NM_000909|NP_000900|P25929|4886|ENSG00000164128),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(47|gpcr),receptor(gpcr|47|Neurotensin receptors|309|NTS1 receptor|||||NTR1|NTRH|NTSR1|NTR|neurotensin receptor type 1|Levocabastin-insensitive neurotensin receptor|NT-1R|neurotensin receptor 1 (high affinity)|8039|NTSR1|neurotensin receptor 1|20q13.33|NM_002531|NP_002522|P30989|4923|ENSG00000101188),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(48|gpcr),receptor(gpcr|48|Hydroxycarboxylic acid receptors|311|HCA1 receptor|||||FKSG80|LACR1|lactate receptor 1|T-cell activation G protein-coupled receptor|G protein-coupled receptor 104|G protein-coupled receptor 81|Gpr81|4532|HCAR1|hydroxycarboxylic acid receptor 1|12q24.31|NM_032554|NP_115943|Q9BXC0|27198|ENSG00000196917),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(50|gpcr),receptor(gpcr|50|Opioid receptors|317|&delta; receptor|||||DOP|DOR|OP1|Delta receptor|DOR-1|DOPr|opioid receptor|8153|OPRD1|opioid receptor delta 1|1p35.3|NM_000911|NP_000902|P41143|4985|ENSG00000116329),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(51|gpcr),receptor(gpcr|51|Orexin receptors|321|OX1 receptor|||||Hctr1|hypocretin receptor 1|orexin receptor type 1|OX1R|4848|HCRTR1|hypocretin receptor 1|1p35.2|NM_001525|NP_001516|O43613|3061|ENSG00000121764),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(52|gpcr),receptor(gpcr|52|P2Y receptors|323|P2Y1 receptor|||||ATP receptor|P2 purinoceptor subtype Y1|P2Y purinoceptor 1|platelet ADP receptor|Purinergic receptor P2Y1|P2Y ATP receptor 1|P2Y1 receptor|purinergic receptor P2Y|8539|P2RY1|purinergic receptor P2Y1|3q25.2|NM_002563|NP_002554|P47900|5028|ENSG00000169860),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(53|gpcr),receptor(gpcr|53|Parathyroid hormone receptors|331|PTH1 receptor|||||PPR|PTHR|PTHR1|9608|PTH1R|parathyroid hormone 1 receptor|3p21.31|NM_000316|NP_000307|Q03431|5745|ENSG00000160801),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
